--------------------------------------------------------------------------
[[14994,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-3-141

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
Running with these driver parameters:
  solver ID    = 3

  Laplacian_27pt:
    (Nx, Ny, Nz) = (10, 20, 10)
    (Px, Py, Pz) = (1, 2, 1)

[PI-INFO] Total time,0.138402
[PI-INFO] Total time,0.138421
[PI-INFO] Total time,0.138438
[PI-INFO] Total time,0.138454
[PI-INFO] Total time,0.138471
[PI-INFO] Total time,0.138487
[PI-INFO] Total time,0.138503
[PI-INFO] Total time,0.138520
[PI-INFO] Total time,0.138536
[PI-INFO] Total time,0.138552
[PI-INFO] Total time,0.138568
[PI-INFO] Total time,0.138585
[PI-INFO] Total time,0.138601
[PI-INFO] Total time,0.138617
[PI-INFO] Total time,0.138634
[PI-INFO] Total time,0.138650
[PI-INFO] Total time,0.138666
[PI-INFO] Total time,0.138683
[PI-INFO] Total time,0.138699
[PI-INFO] Total time,0.138715
[PI-INFO] Total time,0.138732
[PI-INFO] Total time,0.138748
[PI-INFO] Total time,0.138764
[PI-INFO] Total time,0.138780
[PI-INFO] Total time,0.138797
[PI-INFO] Total time,0.138813
[PI-INFO] Total time,0.138829
[PI-INFO] Total time,0.138845
[PI-INFO] Total time,0.138862
[PI-INFO] Total time,0.138878
[PI-INFO] Total time,0.138894
[PI-INFO] Total time,0.138911
[PI-INFO] Total time,0.138927
[PI-INFO] Total time,0.138943
[PI-INFO] Total time,0.138960
[PI-INFO] Total time,0.138976
[PI-INFO] Total time,0.138992
[PI-INFO] Total time,0.139008
[PI-INFO] Total time,0.139025
[PI-INFO] Total time,0.139041
[PI-INFO] Total time,0.139077
[PI-INFO] Total time,0.139093
[PI-INFO] Total time,0.139110
[PI-INFO] Total time,0.139126
[PI-INFO] Total time,0.139142
[PI-INFO] Total time,0.139158
[PI-INFO] Total time,0.139175
[PI-INFO] Total time,0.139191
[PI-INFO] Total time,0.139207
[PI-INFO] Total time,0.139224
[PI-INFO] Total time,0.139240
[PI-INFO] Total time,0.139256
[PI-INFO] Total time,0.139273
[PI-INFO] Total time,0.139289
[PI-INFO] Total time,0.139305
[PI-INFO] Total time,0.139321
[PI-INFO] Total time,0.139338
[PI-INFO] Total time,0.139354
[PI-INFO] Total time,0.139370
[PI-INFO] Total time,0.139386
[PI-INFO] Total time,0.139403
[PI-INFO] Total time,0.139419
[PI-INFO] Total time,0.139435
[PI-INFO] Total time,0.139451
[PI-INFO] Total time,0.139468
[PI-INFO] Total time,0.139484
[PI-INFO] Total time,0.139500
[PI-INFO] Total time,0.139516
[PI-INFO] Total time,0.139533
[PI-INFO] Total time,0.139549
[PI-INFO] Total time,0.139565
[PI-INFO] Total time,0.139581
[PI-INFO] Total time,0.139598
[PI-INFO] Total time,0.139614
[PI-INFO] Total time,0.139630
[PI-INFO] Total time,0.139646
